ReleaseID,File Name,Size,LOCAdded,AvgLOCAdded,MaxLOCAdded,LOCRemoved,AvgLOCRemoved,MaxLOCRemoved,Churn,AvgChurn,MaxChurn,NR,Nfix,NAuth,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,196,224,37.333333333333336,178,28,4.666666666666667,9,196,16.333333333333332,178,6,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,67,76,19.0,67,9,2.25,7,67,8.375,67,4,0,3,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,165,182,45.5,138,17,4.25,11,165,20.625,138,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,173,193,48.25,170,20,5.0,17,173,21.625,170,4,0,3,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,103,127,21.166666666666668,101,24,4.0,10,107,8.916666666666666,101,6,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,78,78,78.0,78,0,0.0,0,78,39.0,78,1,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,87,88,44.0,87,1,0.5,1,87,21.75,87,2,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,85,86,43.0,85,1,0.5,1,85,21.25,85,2,0,2,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,105,106,53.0,61,1,0.5,1,105,26.25,61,2,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,216,224,56.0,216,8,2.0,6,216,27.0,216,4,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,377,397,99.25,377,20,5.0,11,377,47.125,377,4,0,2,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,253,255,127.5,251,2,1.0,2,253,63.25,251,2,0,1,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,193.0,193,0,0.0,0,193,96.5,193,1,0,1,YES
