DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,5,77.89133942980096,weka.classifiers.lazy.IBk,Greedy backward search,None,0.10256410256410256,0.041666666666666664,0.7250109880450071,0.03761269981746886,4.0,35.0,2335.0,92.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.trees.RandomForest,None,Undersampling,0.01639344262295082,0.0024630541871921183,0.4621526635547098,-0.0669341877836514,1.0,60.0,1123.0,405.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.trees.RandomForest,None,Undersampling,0.0,0.0,NaN,0.0,0.0,281.0,1896.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.trees.RandomForest,None,Undersampling,0.18333333333333332,0.14285714285714285,0.692664551791536,0.08663151571781326,33.0,147.0,2121.0,198.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.trees.RandomForest,None,Undersampling,0.09345794392523364,0.14285714285714285,0.7151671022632486,0.08360556751149474,10.0,97.0,2472.0,60.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.trees.RandomForest,None,Undersampling,0.09395973154362416,0.125,0.7031419529837252,0.06575417304859331,14.0,135.0,2630.0,98.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.bayes.NaiveBayes,None,Undersampling,0.01639344262295082,0.004310344827586207,0.4295145442256682,-0.11141583242197352,2.0,120.0,1232.0,462.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.bayes.NaiveBayes,None,Undersampling,0.0,0.0,NaN,0.0,0.0,311.0,2177.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.bayes.NaiveBayes,None,Undersampling,0.18090452261306533,0.13636363636363635,0.6763826049850356,0.08261203888089307,36.0,163.0,2429.0,228.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.bayes.NaiveBayes,None,Undersampling,0.09166666666666666,0.1375,0.7044235354223434,0.0807397260273973,11.0,109.0,2827.0,69.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.bayes.NaiveBayes,None,Undersampling,0.1,0.125,0.6922505439082278,0.07092398982763413,16.0,144.0,3016.0,112.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.lazy.IBk,None,Undersampling,0.01639344262295082,0.0038314176245210726,0.4376065857056131,-0.10030597715774517,2.0,120.0,1401.0,520.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.lazy.IBk,None,Undersampling,0.0,0.0,NaN,0.0,0.0,351.0,2448.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.lazy.IBk,None,Undersampling,0.18339100346020762,0.17845117845117844,0.6662735032076595,0.09871244635193131,53.0,236.0,2680.0,244.0
BOOKKEEPER,4,73.96408839779005,weka.classifiers.lazy.IBk,None,Undersampling,0.07692307692307693,0.16666666666666666,0.6865341272244088,0.07156308851224132,15.0,180.0,3123.0,75.0
BOOKKEEPER,5,77.89133942980096,weka.classifiers.lazy.IBk,None,Undersampling,0.08029197080291971,0.1527777777777778,0.6721177137052664,0.05714285714285747,22.0,252.0,3303.0,122.0
BOOKKEEPER,1,43.67245657568238,weka.classifiers.trees.RandomForest,Greedy backward search,Undersampling,0.01639344262295082,0.0034482758620689655,0.44603856355845745,-0.09121086486412028,2.0,120.0,1570.0,578.0
BOOKKEEPER,2,56.44257703081232,weka.classifiers.trees.RandomForest,Greedy backward search,Undersampling,0.0,0.0,NaN,0.0,0.0,419.0,2691.0,0.0
BOOKKEEPER,3,66.66666666666667,weka.classifiers.trees.RandomForest,Greedy backward search,Undersampling,0.18282548476454294,0.2,0.6639305087916199,0.10454049833752882,66.0,295.0,2945.0,264.0
