ReleaseID,File Name,Size,LOCAdded,AvgLOCAdded,MaxLOCAdded,Churn,AvgChurn,MaxChurn,Buggy
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,487,80,10.0,24,34,4.25,11,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,133,0,0.0,0,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,114,10,5.0,8,1,0.5,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,95,10,5.0,8,1,0.5,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,48,742,148.4,688,679,135.8,675,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,197,204,40.8,101,25,5.0,23,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,29,5,2.5,4,0,0.0,0,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,18,5,5.0,5,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,56,4,4.0,4,0,0.0,0,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,22,10,5.0,7,1,0.5,1,NO
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,35,29,14.5,25,25,12.5,25,YES
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,48,0,0.0,0,0,0.0,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,36,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,9,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,11,8,4.0,5,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,15,4,4.0,4,0,0.0,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,48,20,20.0,20,0,0.0,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,112,6,3.0,5,0,0.0,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java,114,13,4.333333333333333,10,1,0.3333333333333333,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,149,4,2.0,2,1,0.5,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,29,1,1.0,1,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java,104,9,2.25,5,1,0.25,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java,88,3,1.5,2,1,0.5,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java,29,1,1.0,1,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,91,3,3.0,3,0,0.0,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,51,4,4.0,4,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java,15,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java,15,2,2.0,2,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java,15,1,1.0,1,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,59,11,3.6666666666666665,5,1,0.3333333333333333,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java,51,3,1.5,2,1,0.5,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java,45,7,2.3333333333333335,3,1,0.3333333333333333,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java,72,9,3.0,4,1,0.3333333333333333,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java,186,78,15.6,35,7,1.4,3,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,54,9,3.0,5,1,0.3333333333333333,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java,38,5,2.5,3,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java,74,7,2.3333333333333335,4,1,0.3333333333333333,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java,223,0,0.0,0,0,0.0,0,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,141,12,3.0,6,7,1.75,6,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java,411,59,19.666666666666668,48,1,0.3333333333333333,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java,235,24,6.0,14,1,0.25,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java,61,9,3.0,4,1,0.3333333333333333,1,YES
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java,23,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,46,13,13.0,13,1,1.0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java,26,1,0.5,1,9,4.5,9,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Callback.java,11,4,4.0,4,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/CallbackUtils.java,120,20,6.666666666666667,16,2,0.6666666666666666,2,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/ConcurrencyUtils.java,32,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,33,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,81,2,2.0,2,1,1.0,1,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/HedwigSocketAddress.java,90,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Option.java,26,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/Pair.java,25,0,0.0,0,0,0.0,0,NO
1,hedwig-client/src/main/java/org/apache/hedwig/util/PathUtils.java,35,0,0.0,0,0,0.0,0,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/exceptions/PubSubException.java,135,1,1.0,1,0,0.0,0,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protocol/PubSubProtocol.java,6226,5855,5855.0,5855,272,272.0,272,YES
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/MessageIdUtils.java,120,2,2.0,2,0,0.0,0,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/PubSubResponseUtils.java,23,0,0.0,0,0,0.0,0,NO
1,hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,20,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/AbstractBenchmark.java,87,50,25.0,48,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,88,43,10.75,39,2,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookkeeperBenchmark.java,75,34,11.333333333333334,31,1,0.3333333333333333,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/FakeBookie.java,83,50,25.0,48,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,26,0,0.0,0,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/ServerConfiguration.java,239,1,1.0,1,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TerminateJVMExceptionHandler.java,15,3,3.0,3,1,1.0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/TopicOpQueuer.java,91,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,15,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/ChannelEndPoint.java,63,0,0.0,0,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryCallback.java,10,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryEndPoint.java,11,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,12,1,1.0,1,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,415,34,11.333333333333334,32,5,1.6666666666666667,4,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/BaseHandler.java,47,16,16.0,16,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,8,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ConsumeHandler.java,47,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,10,3,3.0,3,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,51,11,11.0,11,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/SubscribeHandler.java,122,11,5.5,9,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/handlers/UnsubscribeHandler.java,55,1,1.0,1,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,321,15,3.0,8,21,4.2,14,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServerPipelineFactory.java,46,2,2.0,2,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/netty/UmbrellaHandler.java,128,4,2.0,2,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,611,149,74.5,144,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheKey.java,57,2,2.0,2,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/CacheValue.java,70,3,1.5,2,1,0.5,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,5,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/LocalDBPersistenceManager.java,363,12,6.0,10,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,45,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistRequest.java,36,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,21,5,5.0,5,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManagerWithRangeScan.java,5,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/RangeScanRequest.java,47,2,2.0,2,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ReadAheadCache.java,458,38,19.0,36,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallback.java,18,4,4.0,4,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanCallbackWithContext.java,20,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/persistence/ScanRequest.java,35,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ChannelTracker.java,105,3,3.0,3,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/HedwigProxy.java,137,7,2.3333333333333335,3,1,0.3333333333333333,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConfiguration.java,18,5,5.0,5,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyConsumeHandler.java,40,2,2.0,2,1,1.0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,45,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStartDeliveryHandler.java,98,12,4.0,8,1,0.3333333333333333,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,53,2,2.0,2,1,1.0,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxySubscribeHandler.java,66,3,1.5,2,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyUnsubscribeHandler.java,54,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClient.java,20,2,2.0,2,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,33,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubSubscriber.java,45,6,3.0,4,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/regions/RegionManager.java,157,19,6.333333333333333,12,3,1.0,3,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,33,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AbstractSubscriptionManager.java,371,20,6.666666666666667,17,2,0.6666666666666666,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/AllToAllTopologyFilter.java,22,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionManager.java,55,4,4.0,4,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/InMemorySubscriptionState.java,38,1,1.0,1,0,0.0,0,YES
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/MessageFilter.java,8,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionEventListener.java,12,4,4.0,4,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/SubscriptionManager.java,21,7,7.0,7,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/TrueFilter.java,15,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,210,52,26.0,50,1,0.5,1,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,155,11,3.6666666666666665,6,10,3.3333333333333335,9,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicManager.java,18,6,6.0,6,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TopicOwnershipChangeListener.java,11,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/TrivialOwnAllTopicManager.java,34,2,2.0,2,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/server/topics/ZkTopicManager.java,380,77,38.5,75,1,0.5,1,YES
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsynBKCallback.java,86,30,30.0,30,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,18,0,0.0,0,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,81,1,1.0,1,0,0.0,0,NO
1,hedwig-server/src/main/java/org/apache/hedwig/zookeeper/ZkUtils.java,57,15,7.5,13,1,0.5,1,YES
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchBookie.java,192,12,6.0,8,38,19.0,32,NO
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchReadThroughputLatency.java,251,13,13.0,13,11,11.0,11,YES
2,bookkeeper-benchmark/src/main/java/org/apache/bookkeeper/benchmark/BenchThroughputLatency.java,425,83,20.75,55,34,8.5,25,YES
