@relation OPENJPA_1_TrainingSet.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute LOC_TOUCHED numeric
@attribute LOC_TOUCHED_AVG numeric
@attribute LOC_TOUCHED_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
185,190,47.5,178,5,1.25,5,195,48.75,178,185,46.25,178,4,0,2,NO
62,66,22.0,66,4,1.3333333333333333,4,70,23.333333333333332,66,70,23.333333333333332,66,3,0,2,NO
46,46,23.0,46,0,0.0,0,46,23.0,46,46,23.0,46,2,0,1,NO
54,57,14.25,56,2,0.5,1,59,14.75,56,57,14.25,56,4,0,2,NO
70,73,24.333333333333332,70,3,1.0,3,76,25.333333333333332,70,70,23.333333333333332,70,3,0,2,NO
44,49,16.333333333333332,49,4,1.3333333333333333,4,53,17.666666666666668,49,53,17.666666666666668,49,3,0,2,NO
55,64,16.0,57,9,2.25,6,73,18.25,57,59,14.75,57,4,0,2,NO
202,224,56.0,202,22,5.5,16,246,61.5,202,202,50.5,202,4,0,2,NO
75,83,27.666666666666668,75,8,2.6666666666666665,8,91,30.333333333333332,75,75,25.0,75,3,0,2,NO
72,86,21.5,83,14,3.5,11,100,25.0,83,94,23.5,83,4,0,2,NO
237,274,45.666666666666664,232,37,6.166666666666667,27,311,51.833333333333336,232,237,39.5,232,6,0,2,NO
103,103,51.5,103,0,0.0,0,103,51.5,103,103,51.5,103,2,0,1,NO
101,106,35.333333333333336,101,5,1.6666666666666667,5,111,37.0,101,101,33.666666666666664,101,3,0,2,NO
80,80,40.0,80,0,0.0,0,80,40.0,80,80,40.0,80,2,0,1,NO
213,213,213.0,213,0,0.0,0,213,213.0,213,213,213.0,213,1,0,1,NO
181,207,51.75,184,25,6.25,15,232,58.0,184,186,46.5,184,4,0,2,NO
30,36,18.0,29,6,3.0,6,42,21.0,29,30,15.0,29,2,0,1,NO
175,197,39.4,176,22,4.4,13,219,43.8,176,177,35.4,176,5,0,2,NO
44,44,22.0,44,0,0.0,0,44,22.0,44,44,22.0,44,2,0,1,NO
79,94,23.5,79,15,3.75,9,109,27.25,79,79,19.75,79,4,0,2,NO
44,44,22.0,44,0,0.0,0,44,22.0,44,44,22.0,44,2,0,1,NO
164,195,39.0,163,30,6.0,23,225,45.0,163,167,33.4,163,5,0,2,NO
152,165,27.5,154,12,2.0,6,177,29.5,154,155,25.833333333333332,154,6,0,2,NO
71,84,21.0,72,13,3.25,7,97,24.25,72,73,18.25,72,4,0,2,NO
71,83,20.75,72,12,3.0,6,95,23.75,72,73,18.25,72,4,0,2,NO
42,42,21.0,42,0,0.0,0,42,21.0,42,42,21.0,42,2,0,1,NO
449,480,68.57142857142857,450,31,4.428571428571429,14,511,73.0,450,465,66.42857142857143,450,7,0,3,NO
44,44,22.0,44,0,0.0,0,44,22.0,44,44,22.0,44,2,0,1,NO
29,29,14.5,29,0,0.0,0,29,14.5,29,29,14.5,29,2,0,1,NO
53,55,18.333333333333332,54,2,0.6666666666666666,2,57,19.0,54,55,18.333333333333332,54,3,0,2,NO
58,60,20.0,59,2,0.6666666666666666,2,62,20.666666666666668,59,60,20.0,59,3,0,2,NO
87,91,30.333333333333332,87,4,1.3333333333333333,4,95,31.666666666666668,87,87,29.0,87,3,0,2,NO
133,147,36.75,133,14,3.5,8,161,40.25,133,133,33.25,133,4,0,2,NO
165,193,38.6,163,27,5.4,20,220,44.0,163,166,33.2,163,5,0,2,NO
40,42,14.0,41,1,0.3333333333333333,1,43,14.333333333333334,41,41,13.666666666666666,41,3,0,2,NO
40,42,14.0,41,1,0.3333333333333333,1,43,14.333333333333334,41,41,13.666666666666666,41,3,0,2,NO
85,97,24.25,86,12,3.0,6,109,27.25,86,87,21.75,86,4,0,2,NO
76,84,28.0,76,8,2.6666666666666665,8,92,30.666666666666668,76,76,25.333333333333332,76,3,0,2,NO
72,83,20.75,73,11,2.75,6,94,23.5,73,74,18.5,73,4,0,2,NO
53,56,18.666666666666668,53,3,1.0,3,59,19.666666666666668,53,53,17.666666666666668,53,3,0,2,NO
107,120,30.0,107,13,3.25,7,133,33.25,107,107,26.75,107,4,0,2,NO
680,707,101.0,633,27,3.857142857142857,20,734,104.85714285714286,633,682,97.42857142857143,633,7,0,2,NO
117,121,40.333333333333336,117,4,1.3333333333333333,4,125,41.666666666666664,117,117,39.0,117,3,0,2,NO
68,70,23.333333333333332,69,2,0.6666666666666666,2,72,24.0,69,70,23.333333333333332,69,3,0,2,NO
38,38,19.0,38,0,0.0,0,38,19.0,38,38,19.0,38,2,0,1,NO
36,36,18.0,36,0,0.0,0,36,18.0,36,36,18.0,36,2,0,1,NO
344,394,43.77777777777778,352,50,5.555555555555555,25,444,49.333333333333336,352,370,41.111111111111114,352,9,0,2,NO
57,63,15.75,58,6,1.5,4,69,17.25,58,59,14.75,58,4,0,2,NO
40,41,20.5,41,0,0.0,0,41,20.5,41,41,20.5,41,2,0,1,NO
266,287,71.75,266,21,5.25,15,308,77.0,266,266,66.5,266,4,0,2,NO
139,164,32.8,138,24,4.8,17,188,37.6,138,140,28.0,138,5,0,2,NO
60,61,30.5,61,0,0.0,0,61,30.5,61,61,30.5,61,2,0,1,NO
222,282,56.4,238,60,12.0,30,342,68.4,238,254,50.8,238,5,0,2,NO
159,190,38.0,158,30,6.0,23,220,44.0,158,162,32.4,158,5,0,2,NO
51,52,17.333333333333332,51,1,0.3333333333333333,1,53,17.666666666666668,51,51,17.0,51,3,0,2,NO
48,49,24.5,49,0,0.0,0,49,24.5,49,49,24.5,49,2,0,1,NO
48,49,24.5,49,0,0.0,0,49,24.5,49,49,24.5,49,2,0,1,NO
198,226,45.2,196,27,5.4,20,253,50.6,196,199,39.8,196,5,0,2,NO
165,197,32.833333333333336,171,31,5.166666666666667,17,228,38.0,171,180,30.0,171,6,0,2,NO
156,174,43.5,161,18,4.5,13,192,48.0,161,166,41.5,161,4,0,2,NO
192,211,52.75,188,19,4.75,14,230,57.5,188,192,48.0,188,4,0,2,NO
957,957,478.5,957,0,0.0,0,957,478.5,957,957,478.5,957,2,0,1,NO
341,341,170.5,341,0,0.0,0,341,170.5,341,341,170.5,341,2,0,1,NO
112,112,56.0,112,0,0.0,0,112,56.0,112,112,56.0,112,2,0,1,NO
125,125,62.5,125,0,0.0,0,125,62.5,125,125,62.5,125,2,0,1,NO
411,415,138.33333333333334,383,4,1.3333333333333333,4,419,139.66666666666666,383,411,137.0,383,3,0,2,NO
173,173,86.5,173,0,0.0,0,173,86.5,173,173,86.5,173,2,0,1,NO
69,71,23.666666666666668,69,2,0.6666666666666666,2,73,24.333333333333332,69,69,23.0,69,3,0,2,NO
82,84,28.0,82,2,0.6666666666666666,2,86,28.666666666666668,82,82,27.333333333333332,82,3,0,2,NO
1010,1031,343.6666666666667,1013,21,7.0,21,1052,350.6666666666667,1013,1016,338.6666666666667,1013,3,0,2,NO
329,329,164.5,329,0,0.0,0,329,164.5,329,329,164.5,329,2,0,1,NO
244,254,84.66666666666667,245,10,3.3333333333333335,10,264,88.0,245,246,82.0,245,3,0,2,NO
84,84,42.0,84,0,0.0,0,84,42.0,84,84,42.0,84,2,0,1,NO
43,43,21.5,43,0,0.0,0,43,21.5,43,43,21.5,43,2,0,1,NO
69,69,34.5,69,0,0.0,0,69,34.5,69,69,34.5,69,2,0,1,NO
64,64,32.0,64,0,0.0,0,64,32.0,64,64,32.0,64,2,0,1,NO
161,167,55.666666666666664,161,6,2.0,6,173,57.666666666666664,161,161,53.666666666666664,161,3,0,2,NO
86,86,43.0,86,0,0.0,0,86,43.0,86,86,43.0,86,2,0,1,NO
304,304,152.0,304,0,0.0,0,304,152.0,304,304,152.0,304,2,0,1,NO
703,703,351.5,703,0,0.0,0,703,351.5,703,703,351.5,703,2,0,1,NO
1749,1757,439.25,1748,8,2.0,7,1765,441.25,1748,1751,437.75,1748,4,0,1,NO
1179,1207,241.4,1135,28,5.6,24,1235,247.0,1135,1181,236.2,1135,5,0,2,NO
68,68,34.0,68,0,0.0,0,68,34.0,68,68,34.0,68,2,0,1,NO
1122,1206,172.28571428571428,1104,84,12.0,43,1290,184.28571428571428,1104,1138,162.57142857142858,1104,7,0,3,NO
139,139,69.5,139,0,0.0,0,139,69.5,139,139,69.5,139,2,0,1,NO
163,163,81.5,163,0,0.0,0,163,81.5,163,163,81.5,163,2,0,1,NO
60,60,30.0,60,0,0.0,0,60,30.0,60,60,30.0,60,2,0,1,NO
231,231,115.5,231,0,0.0,0,231,115.5,231,231,115.5,231,2,0,1,NO
606,608,202.66666666666666,608,2,0.6666666666666666,2,610,203.33333333333334,608,610,203.33333333333334,608,3,0,1,NO
135,135,67.5,135,0,0.0,0,135,67.5,135,135,67.5,135,2,0,1,NO
34,35,17.5,35,0,0.0,0,35,17.5,35,35,17.5,35,2,0,1,NO
160,160,80.0,160,0,0.0,0,160,80.0,160,160,80.0,160,2,0,1,NO
2053,2056,685.3333333333334,2053,3,1.0,3,2059,686.3333333333334,2053,2053,684.3333333333334,2053,3,0,2,NO
93,93,46.5,93,0,0.0,0,93,46.5,93,93,46.5,93,2,0,1,NO
149,149,74.5,149,0,0.0,0,149,74.5,149,149,74.5,149,2,0,1,NO
