@relation OPENJPA_16_TrainingSet.arff

@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute LOC_ADDED_AVG numeric
@attribute LOC_ADDED_MAX numeric
@attribute LOC_REMOVED numeric
@attribute LOC_REMOVED_AVG numeric
@attribute LOC_REMOVED_MAX numeric
@attribute CHURN numeric
@attribute CHURN_AVG numeric
@attribute CHURN_MAX numeric
@attribute NUMBER_OF_REVISIONS numeric
@attribute NUMBER_OF_DEFECT_FIXES numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'YES', 'NO'}

@data
107,120,30.0,107,13,3.25,7,107,26.75,107,4,0,2,NO
680,707,101.0,633,27,3.857142857142857,20,682,97.42857142857143,633,7,0,2,NO
117,121,40.333333333333336,117,4,1.3333333333333333,4,117,39.0,117,3,0,2,NO
68,70,23.333333333333332,69,2,0.6666666666666666,2,70,23.333333333333332,69,3,0,2,NO
38,38,19.0,38,0,0.0,0,38,19.0,38,2,0,1,NO
36,36,18.0,36,0,0.0,0,36,18.0,36,2,0,1,NO
344,394,43.77777777777778,352,50,5.555555555555555,25,370,41.111111111111114,352,9,0,2,NO
57,63,15.75,58,6,1.5,4,59,14.75,58,4,0,2,NO
40,41,20.5,41,0,0.0,0,41,20.5,41,2,0,1,NO
266,287,71.75,266,21,5.25,15,266,66.5,266,4,0,2,NO
139,164,32.8,138,24,4.8,17,140,28.0,138,5,0,2,NO
60,61,30.5,61,0,0.0,0,61,30.5,61,2,0,1,NO
222,282,56.4,238,60,12.0,30,254,50.8,238,5,0,2,NO
159,190,38.0,158,30,6.0,23,162,32.4,158,5,0,2,NO
51,52,17.333333333333332,51,1,0.3333333333333333,1,51,17.0,51,3,0,2,NO
48,49,24.5,49,0,0.0,0,49,24.5,49,2,0,1,NO
48,49,24.5,49,0,0.0,0,49,24.5,49,2,0,1,NO
198,226,45.2,196,27,5.4,20,199,39.8,196,5,0,2,NO
165,197,32.833333333333336,171,31,5.166666666666667,17,180,30.0,171,6,0,2,NO
156,174,43.5,161,18,4.5,13,166,41.5,161,4,0,2,NO
192,211,52.75,188,19,4.75,14,192,48.0,188,4,0,2,NO
957,957,478.5,957,0,0.0,0,957,478.5,957,2,0,1,NO
341,341,170.5,341,0,0.0,0,341,170.5,341,2,0,1,NO
112,112,56.0,112,0,0.0,0,112,56.0,112,2,0,1,NO
125,125,62.5,125,0,0.0,0,125,62.5,125,2,0,1,NO
411,415,138.33333333333334,383,4,1.3333333333333333,4,411,137.0,383,3,0,2,NO
173,173,86.5,173,0,0.0,0,173,86.5,173,2,0,1,NO
69,71,23.666666666666668,69,2,0.6666666666666666,2,69,23.0,69,3,0,2,NO
82,84,28.0,82,2,0.6666666666666666,2,82,27.333333333333332,82,3,0,2,NO
1010,1031,343.6666666666667,1013,21,7.0,21,1016,338.6666666666667,1013,3,0,2,YES
329,329,164.5,329,0,0.0,0,329,164.5,329,2,0,1,NO
244,254,84.66666666666667,245,10,3.3333333333333335,10,246,82.0,245,3,0,2,NO
84,84,42.0,84,0,0.0,0,84,42.0,84,2,0,1,NO
43,43,21.5,43,0,0.0,0,43,21.5,43,2,0,1,NO
69,69,34.5,69,0,0.0,0,69,34.5,69,2,0,1,NO
64,64,32.0,64,0,0.0,0,64,32.0,64,2,0,1,NO
161,167,55.666666666666664,161,6,2.0,6,161,53.666666666666664,161,3,0,2,NO
86,86,43.0,86,0,0.0,0,86,43.0,86,2,0,1,NO
304,304,152.0,304,0,0.0,0,304,152.0,304,2,0,1,NO
703,703,351.5,703,0,0.0,0,703,351.5,703,2,0,1,NO
1749,1757,439.25,1748,8,2.0,7,1751,437.75,1748,4,0,1,NO
1179,1207,241.4,1135,28,5.6,24,1181,236.2,1135,5,0,2,NO
68,68,34.0,68,0,0.0,0,68,34.0,68,2,0,1,NO
1122,1206,172.28571428571428,1104,84,12.0,43,1138,162.57142857142858,1104,7,0,3,NO
139,139,69.5,139,0,0.0,0,139,69.5,139,2,0,1,NO
163,163,81.5,163,0,0.0,0,163,81.5,163,2,0,1,NO
60,60,30.0,60,0,0.0,0,60,30.0,60,2,0,1,NO
231,231,115.5,231,0,0.0,0,231,115.5,231,2,0,1,NO
606,608,202.66666666666666,608,2,0.6666666666666666,2,610,203.33333333333334,608,3,0,1,YES
135,135,67.5,135,0,0.0,0,135,67.5,135,2,0,1,NO
34,35,17.5,35,0,0.0,0,35,17.5,35,2,0,1,NO
160,160,80.0,160,0,0.0,0,160,80.0,160,2,0,1,NO
2053,2056,685.3333333333334,2053,3,1.0,3,2053,684.3333333333334,2053,3,0,2,NO
93,93,46.5,93,0,0.0,0,93,46.5,93,2,0,1,NO
149,149,74.5,149,0,0.0,0,149,74.5,149,2,0,1,NO
131,131,65.5,131,0,0.0,0,131,65.5,131,2,0,1,NO
67,67,33.5,67,0,0.0,0,67,33.5,67,2,0,1,NO
99,101,33.666666666666664,99,2,0.6666666666666666,2,99,33.0,99,3,0,2,NO
265,269,89.66666666666667,265,4,1.3333333333333333,4,265,88.33333333333333,265,3,0,2,NO
534,537,179.0,536,3,1.0,3,538,179.33333333333334,536,3,0,1,NO
318,318,159.0,318,0,0.0,0,318,159.0,318,2,0,1,NO
365,365,182.5,365,0,0.0,0,365,182.5,365,2,0,1,YES
86,90,30.0,90,4,1.3333333333333333,4,94,31.333333333333332,90,3,0,1,NO
74,74,37.0,74,0,0.0,0,74,37.0,74,2,0,1,YES
79,79,39.5,79,0,0.0,0,79,39.5,79,2,0,1,NO
89,91,30.333333333333332,89,2,0.6666666666666666,2,89,29.666666666666668,89,3,0,2,NO
173,183,61.0,174,10,3.3333333333333335,10,175,58.333333333333336,174,3,0,2,NO
78,78,39.0,78,0,0.0,0,78,39.0,78,2,0,1,NO
58,60,20.0,58,2,0.6666666666666666,2,58,19.333333333333332,58,3,0,2,NO
67,67,33.5,67,0,0.0,0,67,33.5,67,2,0,1,YES
48,48,24.0,48,0,0.0,0,48,24.0,48,2,0,1,NO
59,59,29.5,59,0,0.0,0,59,29.5,59,2,0,1,NO
80,80,40.0,80,0,0.0,0,80,40.0,80,2,0,1,NO
63,63,31.5,63,0,0.0,0,63,31.5,63,2,0,1,NO
123,124,41.333333333333336,123,1,0.3333333333333333,1,123,41.0,123,3,0,1,NO
48,48,24.0,48,0,0.0,0,48,24.0,48,2,0,1,NO
262,262,131.0,262,0,0.0,0,262,131.0,262,2,0,1,NO
130,131,43.666666666666664,124,1,0.3333333333333333,1,130,43.333333333333336,124,3,0,2,NO
1571,1584,528.0,1573,13,4.333333333333333,13,1575,525.0,1573,3,0,2,NO
169,173,57.666666666666664,169,4,1.3333333333333333,4,169,56.333333333333336,169,3,0,2,NO
92,92,46.0,92,0,0.0,0,92,46.0,92,2,0,1,NO
65,65,32.5,65,0,0.0,0,65,32.5,65,2,0,1,NO
133,133,66.5,133,0,0.0,0,133,66.5,133,2,0,1,NO
399,412,137.33333333333334,401,13,4.333333333333333,13,403,134.33333333333334,401,3,0,2,NO
254,264,88.0,255,10,3.3333333333333335,10,256,85.33333333333333,255,3,0,2,NO
257,261,87.0,258,4,1.3333333333333333,4,259,86.33333333333333,258,3,0,2,NO
83,83,41.5,83,0,0.0,0,83,41.5,83,2,0,1,NO
95,95,47.5,95,0,0.0,0,95,47.5,95,2,0,1,NO
145,148,49.333333333333336,144,3,1.0,3,145,48.333333333333336,144,3,0,2,NO
96,99,33.0,96,3,1.0,3,96,32.0,96,3,0,2,NO
149,156,52.0,149,7,2.3333333333333335,7,149,49.666666666666664,149,3,0,2,NO
230,241,80.33333333333333,234,10,3.3333333333333335,10,237,79.0,234,3,0,2,NO
421,444,148.0,430,22,7.333333333333333,22,438,146.0,430,3,0,2,NO
174,183,61.0,175,9,3.0,9,176,58.666666666666664,175,3,0,2,NO
104,104,52.0,104,0,0.0,0,104,52.0,104,2,0,1,NO
93,93,46.5,93,0,0.0,0,93,46.5,93,2,0,1,NO
110,110,55.0,110,0,0.0,0,110,55.0,110,2,0,1,NO
80,80,40.0,80,0,0.0,0,80,40.0,80,2,0,1,NO
258,264,88.0,260,6,2.0,6,262,87.33333333333333,260,3,0,2,NO
86,86,43.0,86,0,0.0,0,86,43.0,86,2,0,1,NO
55,55,27.5,55,0,0.0,0,55,27.5,55,2,0,1,NO
51,51,25.5,51,0,0.0,0,51,25.5,51,2,0,1,NO
52,52,26.0,52,0,0.0,0,52,26.0,52,2,0,1,NO
60,60,30.0,60,0,0.0,0,60,30.0,60,2,0,1,YES
46,46,23.0,46,0,0.0,0,46,23.0,46,2,0,1,NO
81,81,40.5,81,0,0.0,0,81,40.5,81,2,0,1,NO
399,404,134.66666666666666,400,5,1.6666666666666667,5,401,133.66666666666666,400,3,0,2,NO
84,85,42.5,85,0,0.0,0,85,42.5,85,2,0,1,NO
94,99,33.0,94,5,1.6666666666666667,5,94,31.333333333333332,94,3,0,2,NO
93,98,32.666666666666664,93,5,1.6666666666666667,5,93,31.0,93,3,0,2,NO
730,774,129.0,731,44,7.333333333333333,29,742,123.66666666666667,731,6,0,2,NO
167,181,60.333333333333336,170,14,4.666666666666667,14,173,57.666666666666664,170,3,0,2,NO
167,181,60.333333333333336,170,14,4.666666666666667,14,173,57.666666666666664,170,3,0,2,NO
207,207,103.5,207,0,0.0,0,207,103.5,207,2,0,1,NO
311,322,80.5,309,11,2.75,6,311,77.75,309,4,0,2,NO
267,288,57.6,276,21,4.2,11,289,57.8,276,5,0,2,NO
321,321,160.5,321,0,0.0,0,321,160.5,321,2,0,1,NO
518,553,184.33333333333334,527,35,11.666666666666666,35,536,178.66666666666666,527,3,0,2,NO
256,261,87.0,257,5,1.6666666666666667,5,258,86.0,257,3,0,2,NO
162,165,55.0,161,3,1.0,3,162,54.0,161,3,0,2,NO
61,65,21.666666666666668,62,4,1.3333333333333333,4,63,21.0,62,3,0,2,NO
48,48,24.0,48,0,0.0,0,48,24.0,48,2,0,1,YES
43,43,21.5,43,0,0.0,0,43,21.5,43,2,0,1,YES
119,122,40.666666666666664,119,3,1.0,3,119,39.666666666666664,119,3,0,2,NO
129,130,43.333333333333336,129,1,0.3333333333333333,1,129,43.0,129,3,0,1,NO
151,151,75.5,151,0,0.0,0,151,75.5,151,2,0,1,NO
707,707,353.5,707,0,0.0,0,707,353.5,707,2,0,1,NO
287,287,143.5,287,0,0.0,0,287,143.5,287,2,0,1,NO
185,185,92.5,185,0,0.0,0,185,92.5,185,2,0,1,NO
278,281,93.66666666666667,281,3,1.0,3,284,94.66666666666667,281,3,0,1,NO
63,64,32.0,64,0,0.0,0,64,32.0,64,2,0,1,NO
143,143,71.5,143,0,0.0,0,143,71.5,143,2,0,1,NO
100,100,50.0,100,0,0.0,0,100,50.0,100,2,0,1,NO
684,686,228.66666666666666,683,2,0.6666666666666666,2,684,228.0,683,3,0,1,NO
82,82,41.0,82,0,0.0,0,82,41.0,82,2,0,1,NO
190,190,95.0,190,0,0.0,0,190,95.0,190,2,0,1,NO
184,184,92.0,184,0,0.0,0,184,92.0,184,2,0,1,NO
74,75,25.0,73,1,0.3333333333333333,1,74,24.666666666666668,73,3,0,1,NO
82,82,41.0,82,0,0.0,0,82,41.0,82,2,0,1,NO
39,39,19.5,39,0,0.0,0,39,19.5,39,2,0,1,NO
259,259,129.5,259,0,0.0,0,259,129.5,259,2,0,1,NO
39,39,19.5,39,0,0.0,0,39,19.5,39,2,0,1,NO
944,946,315.3333333333333,943,2,0.6666666666666666,2,944,314.6666666666667,943,3,0,1,NO
400,401,133.66666666666666,401,1,0.3333333333333333,1,402,134.0,401,3,0,1,NO
62,62,31.0,62,0,0.0,0,62,31.0,62,2,0,1,NO
78,78,39.0,78,0,0.0,0,78,39.0,78,2,0,1,NO
1523,1523,761.5,1523,0,0.0,0,1523,761.5,1523,2,0,1,NO
232,232,116.0,232,0,0.0,0,232,116.0,232,2,0,1,NO
206,209,69.66666666666667,209,3,1.0,3,212,70.66666666666667,209,3,0,1,NO
186,191,63.666666666666664,180,4,1.3333333333333333,4,187,62.333333333333336,180,3,0,2,NO
689,692,230.66666666666666,692,3,1.0,3,695,231.66666666666666,692,3,0,1,NO
493,493,246.5,493,0,0.0,0,493,246.5,493,2,0,1,NO
53,53,26.5,53,0,0.0,0,53,26.5,53,2,0,1,NO
602,604,201.33333333333334,601,2,0.6666666666666666,2,602,200.66666666666666,601,3,0,1,NO
442,444,148.0,444,2,0.6666666666666666,2,446,148.66666666666666,444,3,0,1,NO
95,95,47.5,95,0,0.0,0,95,47.5,95,2,0,1,NO
846,855,213.75,847,9,2.25,6,848,212.0,847,4,0,2,NO
151,151,75.5,151,0,0.0,0,151,75.5,151,2,0,1,NO
92,93,46.5,93,0,0.0,0,93,46.5,93,2,0,1,NO
42,42,21.0,42,0,0.0,0,42,21.0,42,2,0,1,NO
35,35,17.5,35,0,0.0,0,35,17.5,35,2,0,1,NO
144,144,72.0,144,0,0.0,0,144,72.0,144,2,0,1,YES
3729,3761,537.2857142857143,3721,32,4.571428571428571,10,3737,533.8571428571429,3721,7,0,2,YES
592,592,296.0,592,0,0.0,0,592,296.0,592,2,0,1,NO
93,93,46.5,93,0,0.0,0,93,46.5,93,2,0,1,NO
171,171,85.5,171,0,0.0,0,171,85.5,171,2,0,1,NO
58,58,29.0,58,0,0.0,0,58,29.0,58,2,0,1,NO
159,159,79.5,159,0,0.0,0,159,79.5,159,2,0,1,NO
310,313,104.33333333333333,309,3,1.0,3,310,103.33333333333333,309,3,0,2,NO
253,253,126.5,253,0,0.0,0,253,126.5,253,2,0,1,NO
115,115,57.5,115,0,0.0,0,115,57.5,115,2,0,1,NO
112,112,56.0,112,0,0.0,0,112,56.0,112,2,0,1,NO
189,191,63.666666666666664,151,1,0.3333333333333333,1,190,63.333333333333336,151,3,0,2,NO
403,403,201.5,403,0,0.0,0,403,201.5,403,2,0,1,NO
39,39,19.5,39,0,0.0,0,39,19.5,39,2,0,1,NO
72,76,25.333333333333332,71,4,1.3333333333333333,4,72,24.0,71,3,0,2,NO
912,940,188.0,900,28,5.6,16,916,183.2,900,5,0,2,YES
533,539,134.75,534,6,1.5,5,535,133.75,534,4,0,2,NO
166,166,83.0,166,0,0.0,0,166,83.0,166,2,0,1,NO
1012,1022,255.5,1019,10,2.5,8,1026,256.5,1019,4,0,2,YES
124,124,62.0,124,0,0.0,0,124,62.0,124,2,0,1,NO
376,376,188.0,376,0,0.0,0,376,188.0,376,2,0,1,YES
430,432,144.0,432,2,0.6666666666666666,2,434,144.66666666666666,432,3,0,1,NO
35,35,17.5,35,0,0.0,0,35,17.5,35,2,0,1,NO
572,575,191.66666666666666,572,3,1.0,3,572,190.66666666666666,572,3,0,2,NO
488,488,244.0,488,0,0.0,0,488,244.0,488,2,0,1,NO
520,520,260.0,520,0,0.0,0,520,260.0,520,2,0,1,NO
940,941,470.5,941,0,0.0,0,941,470.5,941,2,0,1,NO
71,71,35.5,71,0,0.0,0,71,35.5,71,2,0,1,NO
254,258,86.0,258,4,1.3333333333333333,4,262,87.33333333333333,258,3,0,1,NO
608,609,304.5,609,0,0.0,0,609,304.5,609,2,0,1,NO
112,112,37.333333333333336,103,0,0.0,0,112,37.333333333333336,103,3,0,1,NO
43,43,21.5,43,0,0.0,0,43,21.5,43,2,0,1,NO
60,60,30.0,60,0,0.0,0,60,30.0,60,2,0,1,NO
124,124,62.0,124,0,0.0,0,124,62.0,124,2,0,1,NO
184,184,92.0,184,0,0.0,0,184,92.0,184,2,0,1,NO
681,702,140.4,668,21,4.2,16,681,136.2,668,5,0,2,YES
122,122,61.0,122,0,0.0,0,122,61.0,122,2,0,1,NO
2834,2938,419.7142857142857,2795,103,14.714285714285714,47,2841,405.85714285714283,2795,7,0,2,YES
33,33,16.5,33,0,0.0,0,33,16.5,33,2,0,1,NO
298,298,149.0,298,0,0.0,0,298,149.0,298,2,0,1,NO
76,76,38.0,76,0,0.0,0,76,38.0,76,2,0,1,NO
60,60,60.0,60,0,0.0,0,60,60.0,60,1,0,1,NO
193,492,61.5,237,299,37.375,219,281,35.125,219,8,0,2,NO
68,150,21.428571428571427,70,82,11.714285714285714,65,72,10.285714285714286,65,7,0,2,NO
138,274,54.8,139,136,27.2,127,140,28.0,127,5,0,1,NO
518,1099,157.0,535,581,83.0,507,552,78.85714285714286,507,7,0,3,NO
87,178,29.666666666666668,89,91,15.166666666666666,82,93,15.5,82,6,0,2,NO
88,191,27.285714285714285,99,103,14.714285714285714,86,110,15.714285714285714,86,7,0,2,NO
71,191,31.833333333333332,91,120,20.0,82,111,18.5,82,6,0,1,NO
91,187,20.77777777777778,47,96,10.666666666666666,42,111,12.333333333333334,43,9,0,2,NO
139,289,72.25,139,150,37.5,136,139,34.75,136,4,0,1,NO
157,314,78.5,157,157,39.25,149,157,39.25,149,4,0,1,NO
1364,2771,307.8888888888889,1336,1407,156.33333333333334,1324,1380,153.33333333333334,1324,9,0,3,YES
1433,2956,211.14285714285714,1427,1523,108.78571428571429,1352,1483,105.92857142857143,1352,14,0,3,YES
140,217,31.0,97,77,11.0,58,142,20.285714285714285,58,7,0,2,NO
63,140,28.0,68,77,15.4,68,73,14.6,65,5,0,2,NO
127,286,28.6,134,158,15.8,123,168,16.8,123,10,0,2,NO
139,276,55.2,139,137,27.4,132,139,27.8,132,5,0,1,NO
46,90,22.5,46,44,11.0,41,46,11.5,41,4,0,1,NO
439,849,141.5,430,410,68.33333333333333,403,441,73.5,403,6,0,2,NO
319,644,80.5,322,325,40.625,307,325,40.625,307,8,0,2,NO
55,111,18.5,57,56,9.333333333333334,50,59,9.833333333333334,50,6,0,1,NO
150,298,59.6,140,148,29.6,140,150,30.0,136,5,0,2,NO
137,274,54.8,137,137,27.4,133,137,27.4,133,5,0,2,NO
258,544,108.8,258,286,57.2,242,282,56.4,242,5,0,2,NO
74,158,39.5,74,84,21.0,74,74,18.5,71,4,0,1,NO
87,170,42.5,87,83,20.75,81,87,21.75,81,4,0,1,NO
32,61,15.25,32,29,7.25,28,32,8.0,28,4,0,1,NO
232,452,113.0,232,220,55.0,216,232,58.0,216,4,0,1,NO
145,284,71.0,145,139,34.75,137,145,36.25,137,4,0,1,NO
242,490,70.0,248,248,35.42857142857143,226,254,36.285714285714285,226,7,0,2,NO
592,1213,121.3,618,620,62.0,563,643,64.3,563,10,0,4,NO
333,689,114.83333333333333,335,356,59.333333333333336,307,377,62.833333333333336,307,6,0,2,NO
216,458,91.6,229,242,48.4,211,242,48.4,211,5,0,1,NO
62,128,32.0,62,66,16.5,58,62,15.5,58,4,0,1,NO
30,59,14.75,30,29,7.25,27,30,7.5,27,4,0,1,NO
135,290,58.0,138,155,31.0,130,143,28.6,130,5,0,1,NO
672,1354,169.25,682,682,85.25,644,700,87.5,644,8,0,2,YES
465,901,180.2,465,436,87.2,432,465,93.0,432,5,0,2,NO
64,125,31.25,64,61,15.25,58,64,16.0,58,4,0,1,NO
49,99,24.75,49,50,12.5,45,49,12.25,45,4,0,1,NO
30,59,14.75,30,29,7.25,27,30,7.5,27,4,0,1,NO
173,354,70.8,178,181,36.2,160,183,36.6,160,5,0,1,NO
79,161,40.25,81,82,20.5,74,83,20.75,74,4,0,1,NO
56,113,22.6,57,57,11.4,52,58,11.6,52,5,0,1,NO
36,72,18.0,36,36,9.0,32,36,9.0,32,4,0,1,NO
46,88,22.0,46,42,10.5,41,46,11.5,41,4,0,1,NO
48,92,23.0,48,44,11.0,43,48,12.0,43,4,0,1,NO
1455,2839,405.57142857142856,1465,1384,197.71428571428572,1336,1475,210.71428571428572,1336,7,0,2,NO
