DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AREA_UNDER_ROC,KAPPA,TRUE_POSITIVES,FALSE_POSITIVES,TRUE_NEGATIVES,FALSE_NEGATIVES
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Forward),UnderSampling,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Forward),SyntheticMinorityOversampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Forward),SyntheticMinorityOversampling,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Forward),SyntheticMinorityOversampling,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.3158489096573209,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),OverSampling,None,NaN,0.0,0.6103582554517134,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),UnderSampling,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Bi-directional),SyntheticMinorityOversampling,None,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,NaiveBayes,BestFirst(Bi-directional),SyntheticMinorityOversampling,None,NaN,0.0,0.30190809968847354,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,IBk,BestFirst(Bi-directional),SyntheticMinorityOversampling,None,NaN,0.0,0.6360591900311526,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Backward),None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
BOOKKEEPER,1,43.67245657568238,RandomForest,BestFirst(Forward),None,SensitiveLearning,NaN,0.0,0.5,0.0,0.0,0.0,120.0,107.0
