RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/kernel/JDBC3SavepointManager.java,62,62,31.0,62,0,0.0,0,62,31.0,62,2,0,1,NO
1,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/EnumValueHandler.java,100,100,50.0,100,0,0.0,0,100,50.0,100,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/MappingToolTask.java,211,215,53.75,211,3,0.75,2,212,53.0,211,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/ReverseMappingToolTask.java,257,259,86.33333333333333,257,2,0.6666666666666666,2,257,85.66666666666667,257,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/ant/SchemaToolTask.java,147,151,37.75,147,3,0.75,2,148,37.0,147,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/FetchModeValue.java,50,50,16.666666666666668,49,0,0.0,0,50,16.666666666666668,49,3,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfiguration.java,603,618,206.0,609,15,5.0,15,615,205.0,609,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCConfigurationImpl.java,873,927,132.42857142857142,900,54,7.714285714285714,34,933,133.28571428571428,900,7,0,3,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCProductDerivation.java,52,57,19.0,50,5,1.6666666666666667,5,52,17.333333333333332,50,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/JDBCSeqValue.java,58,58,29.0,58,0,0.0,0,58,29.0,58,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingFactoryValue.java,158,158,79.0,158,0,0.0,0,158,79.0,158,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/conf/MappingRepositoryValue.java,61,65,21.666666666666668,65,4,1.3333333333333333,4,69,23.0,65,3,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSavepointManager.java,135,135,67.5,135,0,0.0,0,135,67.5,135,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,189,189,94.5,189,0,0.0,0,189,94.5,189,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractUpdateManager.java,376,420,140.0,384,44,14.666666666666666,44,392,130.66666666666666,384,3,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ClassTableJDBCSeq.java,259,276,69.0,262,17,4.25,15,265,66.25,262,4,0,2,NO
