RELEASE_ID,FILE_NAME,SIZE,LOC_ADDED,LOC_ADDED_AVG,LOC_ADDED_MAX,LOC_REMOVED,LOC_REMOVED_AVG,LOC_REMOVED_MAX,CHURN,CHURN_AVG,CHURN_MAX,NUMBER_OF_REVISIONS,NUMBER_OF_DEFECT_FIXES,NUMBER_OF_AUTHORS,IS_BUGGY
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PessimisticLockManager.java,177,177,88.5,177,0,0.0,0,177,88.5,177,2,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManager.java,44,44,22.0,44,0,0.0,0,44,22.0,44,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedStatementManagerImpl.java,127,140,35.0,129,13,3.25,12,131,32.75,129,4,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ProjectionResultObjectProvider.java,70,75,25.0,70,5,1.6666666666666667,5,70,23.333333333333332,70,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLProjectionResultObjectProvider.java,128,129,43.0,129,1,0.3333333333333333,1,130,43.333333333333336,129,3,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SQLStoreQuery.java,257,266,66.5,263,9,2.25,8,269,67.25,263,4,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/SelectResultObjectProvider.java,156,168,56.0,166,12,4.0,12,176,58.666666666666664,166,3,0,2,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,625,628,157.0,625,3,0.75,2,625,156.25,625,4,0,1,YES
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/UpdateManager.java,40,40,20.0,40,0,0.0,0,40,20.0,40,2,0,1,NO
1,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/ValueTableJDBCSeq.java,200,200,100.0,200,0,0.0,0,200,100.0,200,2,0,1,NO
